name,name_cn,date,bgm_id,douban_id,bili_id,anidb_id,mal_id,tmdb_id,imdb_id,tvdb_id,wikidata_id
超電影版 SDガンダム三国伝 Brave Battle Warriors,超电影版 SD高达三国传,2010-02,37632,4202237,,7245,8132,movie/580333,tt1606598,156411,
トウキョウ・バイス,东京风云,1988-06,37651,2258841,,2795,2003,,,,
幻想叙譚エルシア,幻想叙谭艾尔西亚,1992-10,37667,3429045,md5452,2331,3461,,,162971,
夏雪ランデブー,夏雪密会,2012-07,37672,10569021,md760,9126,13585,tv/45278/season/1,tt2266678,260361,
ROBOTICS;NOTES,机器人笔记,2012-10,37673,10569143,md28233818,9128,13599,tv/46435/season/1,tt2293974,259849,
PSYCHO-PASS サイコパス,心理测量者,2012-10,37685,10569144,,9127,13601,,,262090,
To LOVEる-とらぶる-ダークネス,出包王女Darkness,2012-10,37694,10573496,,9133,13663,,tt2341806,81831,
貧乏神が！,穷神,2012-07,37722,10480956,,8888,13535,tv/45968/season/1,tt2250040,259644,
ズモモとヌペペ,自摸摸和努呸呸,2012-04,37723,10748064,,9100,13455,,,,
宇宙戦艦ヤマト2199 第一章「遥かなる旅立ち」,宇宙战舰大和号2199 第一章「踏上遥远的征途」,2012-04,37745,6973355,,,,,,,
新世界より,来自新世界,2012-09,37785,10527275,md1598,9002,13125,tv/53052/season/1,tt2309320,262838,Q719816
ひだまりスケッチ×ハニカム,向阳素描×蜂窝,2012-10,37819,6799190,md734,8575,11239,,,82154,
映画 プリキュアオールスターズNewStage みらいのともだち,电影 光之美少女 All Stars New Stage 未来的朋友,2012-03,37855,7015317,,8817,12221,movie/120422,tt2368783,255904,Q2071927
爆TECH!爆丸,爆TECH！爆丸,2012-04,37859,10545866,md131732,9003,13143,,,,
ひぐらしのなく頃に外伝 猫殺し編,寒蝉鸣泣之时外传 猫杀篇,2007-03,37870,2333125,,,2899,,,,
CLANNAD もうひとつの世界 智代編,CLANNAD 另一个世界 智代篇,2008-07,37873,3160947,md2655,,,,,,
CLANNAD 〜AFTER STORY〜もうひとつの世界 杏編,CLANNAD ～AFTER STORY～另一个世界 杏篇,2009-05,37874,3927686,md1180,,,,,,
